PRIMARY_CAT,REL_CAT,COOC,SENTIMENT
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Salad Dressing,Store Quality,92,-0.536842105
Helpfulness,Print,89,-0.468421053
Ease of Checkout,Computers,234,-1.463260719
Other Accessories,Pricing/Value,689,-0.366778319
Bagging,Deciding Factors,143,-0.976398601
Bread,Variety,1860,-0.365908906
Room to Shop,Frozen Bakery,11,-1.681818182
Promotions,Price Matching,872,0.05027079
Speed of Service,Cakes,176,-0.724335749
Cheese,Samples and Testers,54,0.048728814
Dairy Department,On Display,315,-0.887611276
Glasses & Frames,Product Availability,228,-0.745673077
Product Availability,Lips,172,-1.115583804
Fruit,Ease of Parking,36,-0.263888889
Finding Help,Willingness to Recommend,385,-0.494332902
Easter,Tidiness,115,-0.997047244
Tires,Returns,93,-0.775673401
Camping,Helpfulness,72,-0.068910256
Watches,Variety,34,-0.493055556
Style/Design,Accessories,73,-0.586666667
Sufficient Registers,"Beer, Wine & Spirits",356,-1.238855287
Soup,Discounts,45,0.703125
Target,Sufficient Floor Staff,388,-0.137218045
Tidiness,Feelings,71,-0.335093897
Soft Drinks,Features/Functionality,41,-0.728150407
Skin Care,Store Quality,98,-0.221947195
Loyalty,Room to Shop,114,-0.206932773
Lighting,Honesty / Trust,10,-0.6
Sufficient Floor Staff,Ice Cream & Novelties,43,-1.142045455
Returns,Floor Coverings,15,-0.34375
Shopping Efficiency,Fruit & Nuts,37,0.314102564
Quality/Reliability,Frozen Meals,25,-0.8775
,,,
Quality of Staff,Crackers,47,0.405612245
Sufficient Registers,Kitchen,102,-1.25
,,,
Sufficient Space,Expectations,51,-0.689903846
Helpfulness,Eggs,121,-0.229477612
,,,
Crafting,Cleanliness,81,-0.138554217
Coupons,Fabric,22,-0.834821429
,,,
Friendliness,Hats,37,-0.212837838
Discounts,Valentines,35,0.364583333
Spices,Bagging,27,-0.416666667
,,,
Discounts,Other OTC Meds,10,0.75
Noise,"Beer, Wine & Spirits",22,-1.216145833
,,,
Bedding,Store Location,16,0.375
,,,
Ease of Checkout,Tires,10,-1.318181818
,,,
Live Plants & Goods,Shopping Efficiency,108,0.647321429
Restrooms General,Other OTC Meds,12,-0.75
,,,
,,,
,,,
Yogurt,Shopping Efficiency,32,0.268229167
,,,
Frozen Meats & Seafood,Room to Shop,36,-0.534722222
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Sufficient Registers,Camping,31,-1.07421875
,,,
,,,
,,,
,,,
,,,
Green Movement,Sufficient Space,11,-1.056818182
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Sports,Variety,2034,-0.496516674
Helpfulness,Promotions,2407,0.090137311
Chips & Pretzels,Product Availability,2307,-0.744320087
Quality/Reliability,Salad Dressing,34,-0.732142857
Style/Design,Poultry,735,-0.551115242
Fruit,Odor,77,-0.2875
Tidiness,Ice Cream & Novelties,115,-1.155172414
Tidiness,Paint & Primer,219,-1.02565427
