NODE_ID,NODE_NAME,parent,SENTIMENT_SCORE,TOTAL_DOCUMENTS,DETRACTOR_DOCUMENTS,DETRACTOR_SENTIMENT,PROMOTER_DOCUMENTS,PROMOTER_SENTIMENT,NEUTRAL_DOCUMENTS,NEUTRAL_SENTIMENT
118273,Computer Software,118260,-0.589473684,93,13,-0.160714286,51,-0.710784314,29,-0.583333333
118279,DVD,118260,-0.099226804,5426,956,-0.527542373,2844,0.104976928,1626,-0.19475058
118284,Video Games,118260,0.099148912,2101,414,-0.307448037,1100,0.368383007,587,-0.11108804
118289,Photo Center,118166,-0.684378321,2658,930,-0.96754451,1067,-0.351163832,661,-0.808003597
118292,Photo Center General,118289,-0.71027493,2066,723,-1.016408311,839,-0.377595156,504,-0.818498081
118305,Photo Printing,118289,-0.613467262,644,239,-0.824404762,245,-0.2595,160,-0.821323529
118311,Wireless,118166,-0.614583333,3968,1086,-0.768857759,1759,-0.415260529,1123,-0.775486464
118314,Accessories,118311,-0.773734177,305,75,-0.897435897,126,-0.702755906,104,-0.768018018
118320,Cell Phones,118311,-0.595852102,3208,871,-0.756767956,1450,-0.379772576,887,-0.79148531
118326,Prepaid,118311,-0.710996241,260,82,-0.851190476,101,-0.530339806,77,-0.797468354
118352,Fresh Foods,75911,-0.634349325,198282,43997,-0.852133478,88645,-0.455113922,65640,-0.714656
118355,Bakery,118352,-0.524088375,21117,4644,-0.751501892,9999,-0.346362282,6474,-0.626308764
118358,Bakery Department,118355,-0.554829042,7061,1459,-0.892333984,3393,-0.335843804,2209,-0.662722536
118364,Bread,118355,-0.563993828,10498,2397,-0.695798359,4833,-0.431990918,3268,-0.66058177
118370,Cakes,118355,-0.363664133,3264,752,-0.701122673,1584,-0.119694767,928,-0.469880952
118375,Pastries,118355,-0.273553719,1140,244,-0.587927757,556,-0.11753413,340,-0.297783934
118381,Dairy,118352,-0.729556939,35676,8616,-0.843647959,15375,-0.622311235,11685,-0.783380465
118384,Butter,118381,-0.563140296,1708,433,-0.611776169,758,-0.50032175,517,-0.61393597
118390,Cheese,118381,-0.627123249,5831,1364,-0.769608681,2511,-0.51585961,1956,-0.669325816
118396,Dairy Department,118381,-0.811392941,7497,1780,-0.950278684,3211,-0.686507027,2506,-0.871151598
118402,Eggs,118381,-0.735388432,3726,964,-0.870147874,1584,-0.637062033,1178,-0.754774637
118407,Milk & Cream,118381,-0.724974627,17066,4099,-0.841013825,7431,-0.611827458,5536,-0.788472611
118413,Yogurt,118381,-0.624043062,3951,957,-0.72939156,1648,-0.531446991,1346,-0.662341102
118418,Deli,118352,-0.89751523,22677,5984,-1.106135389,9682,-0.704759894,7011,-0.974009982
118421,Cheese,118418,-0.804403409,872,209,-0.9342723,384,-0.649806701,279,-0.920250896
118427,Deli Department,118418,-0.946165773,17646,4744,-1.146692359,7434,-0.742482818,5468,-1.03799728
118433,Meats,118418,-0.787978864,3697,993,-0.998395854,1553,-0.664826498,1151,-0.772851727
118439,Prepared Foods,118418,-0.58495628,1860,450,-0.852396514,853,-0.373404872,557,-0.690260601
118483,Produce,118352,-0.584296262,112335,24575,-0.827832035,48722,-0.378408804,39038,-0.673447535
118488,Fruit,118483,-0.429204925,30455,6829,-0.710781759,13655,-0.185826268,9971,-0.561483601
118494,Other Produce,118483,-0.650880296,76403,16558,-0.901901999,32225,-0.447577326,27620,-0.728610607
118499,Vegetable,118483,-0.446083339,26650,6094,-0.703090159,11605,-0.227102373,8951,-0.548764721
118505,Proteins,118352,-0.577160208,24294,5233,-0.765646015,11701,-0.452486748,7360,-0.635555318
118508,Beef,118505,-0.64070171,5434,1169,-0.774206042,2546,-0.505050965,1719,-0.747859818
118513,Pork,118505,-0.58252228,2026,464,-0.578542094,925,-0.532021605,637,-0.658339525
